STATE,PVH,PERNOTMVIT ,PERMVIT,PERSONS,DAY,MONTH,DAYofWEEK,MINUTE,NHS,RURorURB ,FUNCSYS,ROADOWNER,ROUTE,SPJUR,HARMEV,MANCOLL,RELJCT1,RELJCT2,TYPINT,WRKZONE,RELROAD,LGTCOND,WEATHER1,WEATHER2,WEATHER,SCHBUS,CF1,CF2,CF3,FATALS,Drunk Driver Involved,HOUR
1,0,0,4,4,10,2,7,35,0,1,7,2,4,0,42,0,0,1,1,0,4,1,2,0,2,0,0,0,0,1,0,12
1,0,0,2,2,11,2,1,5,0,1,5,2,6,0,42,0,0,1,1,0,4,1,10,0,10,0,0,0,0,1,1,14
1,0,0,1,1,11,2,1,21,0,2,7,4,6,0,19,0,0,1,1,0,5,1,10,0,10,0,0,0,0,1,0,14
1,0,0,2,2,11,2,1,40,1,2,3,1,2,0,12,1,0,2,3,0,1,2,2,0,2,0,0,0,0,1,0,17
1,0,1,4,4,12,2,2,14,1,1,3,1,3,0,8,0,0,1,1,0,1,2,2,0,2,0,0,0,0,1,0,18
1,0,0,2,2,12,2,2,47,0,1,4,1,3,0,12,2,0,1,1,1,1,1,10,0,10,0,0,0,0,1,0,6
1,0,0,3,3,12,2,2,15,0,1,4,1,3,0,35,0,0,1,1,0,4,1,10,0,10,0,0,0,0,1,0,13
1,0,0,2,2,13,2,3,20,0,1,5,2,4,0,12,2,0,1,1,0,1,1,10,0,10,0,0,0,0,1,0,7
1,0,0,1,1,14,2,4,30,0,1,5,1,3,0,42,0,0,1,1,0,4,2,2,0,2,0,0,0,0,1,0,17
1,0,0,1,1,15,2,5,30,0,2,5,4,6,0,35,0,0,1,1,0,4,1,10,0,10,0,0,0,0,1,0,9
1,0,0,3,3,15,2,5,30,0,1,6,2,4,0,35,0,0,1,1,0,4,2,1,0,1,0,0,0,0,1,0,19
1,0,0,3,3,12,2,2,25,0,2,5,4,6,0,34,0,0,1,1,0,4,1,10,0,10,0,0,0,0,1,0,17
1,0,0,1,1,17,2,7,15,0,1,5,1,3,0,42,0,0,1,1,0,4,2,10,0,10,0,0,0,0,1,0,22
1,0,1,2,2,18,2,1,40,1,2,1,1,1,0,8,0,1,18,1,0,1,2,2,0,2,0,0,0,0,1,0,0
1,0,0,2,2,18,2,1,10,0,1,7,2,4,0,35,0,0,3,3,0,4,2,1,0,1,0,0,0,0,1,1,19
1,0,1,3,3,19,2,2,15,0,1,7,2,4,0,8,0,0,1,1,0,1,2,10,0,10,0,0,0,0,1,0,20
1,0,0,2,2,21,2,4,50,0,1,5,2,4,0,12,2,0,1,1,0,1,1,10,0,10,0,0,0,0,1,0,11
1,0,0,2,2,21,2,4,53,0,1,4,1,3,0,34,0,0,1,1,0,4,1,10,0,10,0,20,0,0,1,0,12
1,0,0,1,1,21,2,4,32,1,1,3,2,4,0,42,0,0,1,1,0,4,2,1,0,1,0,0,0,0,1,1,21
1,0,0,4,4,23,2,6,2,1,2,3,1,2,0,12,6,0,2,3,0,1,1,1,0,1,0,0,0,0,1,0,12
1,0,0,4,4,23,2,6,55,0,2,4,4,6,0,12,1,0,8,1,0,1,3,1,0,1,0,0,0,0,1,0,18
1,0,0,5,5,23,2,6,31,1,2,3,1,3,0,12,1,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,16
1,0,0,1,1,23,2,6,30,0,1,6,4,6,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,15
1,0,0,3,3,23,2,6,50,0,1,5,1,3,0,12,6,0,8,1,0,1,3,10,0,10,0,0,0,0,1,0,20
1,0,1,1,1,24,2,7,42,1,2,3,1,2,0,8,0,0,2,2,0,1,3,10,0,10,0,0,0,0,1,0,21
1,0,0,6,6,24,2,7,50,1,2,3,1,2,0,12,6,0,2,2,0,1,1,10,0,10,0,0,0,0,1,0,13
1,0,0,4,4,24,2,7,42,0,2,4,4,6,0,12,6,0,2,2,0,1,1,10,0,10,0,0,0,0,1,0,14
1,0,0,1,1,25,2,1,5,0,1,7,2,4,0,1,0,0,1,1,0,4,1,2,0,2,0,0,0,0,1,0,19
1,0,0,1,1,25,2,1,44,0,1,5,1,2,0,42,0,0,1,1,0,4,1,2,0,2,0,0,0,0,1,0,8
1,0,0,2,2,27,2,3,30,0,1,5,1,3,0,12,6,0,2,3,0,1,2,5,0,5,0,0,0,0,1,0,5
1,0,0,1,1,28,2,4,8,1,1,3,1,2,0,30,0,0,1,1,0,4,4,2,0,2,0,0,0,0,1,0,6
1,0,0,1,1,28,2,4,29,0,2,4,4,6,0,33,0,0,1,1,0,4,1,2,0,2,0,0,0,0,1,0,6
1,0,0,1,1,1,3,5,40,0,1,4,1,3,0,35,0,0,1,1,0,4,1,10,0,10,0,0,0,0,1,0,7
1,0,0,1,1,1,3,5,10,0,1,7,2,4,0,34,0,0,1,1,0,4,2,10,0,10,0,0,0,0,1,0,18
1,0,0,3,3,1,3,5,5,0,1,5,2,4,0,12,2,0,1,1,0,1,2,10,0,10,0,0,0,0,1,0,21
1,0,0,1,1,2,3,6,0,0,1,5,2,4,0,35,0,0,1,1,0,4,2,1,0,1,0,0,0,0,1,1,3
1,0,0,4,4,2,3,6,54,0,2,5,4,6,0,12,2,0,1,1,0,1,1,1,0,1,0,0,0,0,1,0,13
1,0,0,1,1,6,3,3,0,0,1,4,1,3,0,32,0,0,1,1,0,4,1,10,0,10,0,0,0,0,1,0,7
1,0,0,3,3,23,2,6,31,1,1,1,1,1,0,12,1,0,1,1,2,1,1,1,0,1,0,26,0,0,1,0,9
1,0,0,3,3,25,2,1,55,1,1,1,1,1,0,12,1,1,17,1,0,1,2,2,0,2,0,0,0,0,1,1,2
1,0,1,7,7,5,3,2,6,1,2,1,1,1,0,8,0,0,1,1,0,1,2,2,0,2,0,0,0,0,1,0,21
1,0,1,1,1,25,3,1,0,1,1,1,1,1,0,8,0,0,1,1,0,1,2,1,0,1,0,0,0,0,1,0,23
1,0,1,1,1,5,3,2,4,0,2,7,4,6,0,8,0,0,1,1,0,1,3,10,0,10,0,18,0,0,1,0,20
1,0,1,1,1,6,3,3,10,0,2,4,1,3,0,8,0,0,1,1,0,1,2,10,0,10,0,0,0,0,1,0,21
1,0,0,5,5,6,3,3,0,1,2,3,1,2,0,12,2,0,8,1,0,1,5,1,0,1,0,0,0,0,1,0,18
1,0,1,1,1,9,3,6,20,0,2,7,2,4,0,8,0,0,1,1,0,1,2,1,0,1,0,0,0,0,1,0,18
1,0,0,2,2,11,3,1,38,0,2,5,2,4,0,12,2,0,1,1,0,1,1,2,0,2,0,0,0,0,2,0,17
1,0,0,1,1,11,3,1,20,1,2,3,1,2,0,30,0,0,1,1,0,4,3,2,0,2,0,0,0,0,1,0,20
1,0,0,3,3,11,3,1,45,0,1,6,1,4,0,1,0,0,1,1,0,1,5,1,0,1,0,0,0,0,1,0,18
1,0,0,2,2,12,3,2,47,0,2,4,4,6,0,33,0,0,3,2,0,4,1,1,0,1,0,0,0,0,1,0,16
1,0,0,2,2,13,3,3,40,0,1,5,1,2,0,12,2,0,1,1,0,1,1,1,0,1,0,0,0,0,1,1,17
