STATE,PVH,PERMVIT,PERSONS,DAY,MONTH,DAYofWEEK,NHS,Rur_Urb,FUNC_SYS,RD_OWNER,ROUTE,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,WEATHER1,CF1,CF2,CF3,FATALS,MinutesOfDay,Drunk Driver Involved
1,0,1,1,1,3,5,0,2,3,1,3,0,0,1,1,0,4,1,0,0,0,1,2,1
1,0,1,1,4,3,1,0,1,5,1,2,0,0,1,1,0,4,1,0,0,0,1,1,1
1,0,3,3,6,3,3,0,1,5,2,4,3,0,2,2,0,1,10,0,0,0,1,3,0
1,0,5,5,8,3,5,0,1,4,1,3,2,0,2,3,0,1,1,0,0,0,1,2,1
1,0,1,1,9,3,6,0,2,5,4,6,0,0,1,1,0,1,1,0,0,0,1,2,0
1,0,3,3,10,3,7,0,2,4,4,6,9,0,3,3,0,1,10,0,0,0,1,4,0
1,0,1,1,13,3,3,0,2,4,1,2,0,0,1,1,0,1,1,0,0,0,1,5,0
1,0,2,2,15,3,5,1,2,3,1,3,3,0,1,1,0,4,1,0,0,0,1,4,0
1,0,2,2,15,3,5,0,1,4,1,3,2,0,1,1,0,1,1,0,0,0,2,2,1
1,0,1,1,15,3,5,0,2,5,2,4,0,0,1,1,0,4,1,0,0,0,1,2,0
1,0,1,1,16,3,6,0,2,5,2,4,0,0,1,1,0,4,1,0,0,0,1,2,1
1,0,1,1,16,3,6,0,1,4,1,3,0,0,1,1,0,4,1,0,0,0,1,4,1
1,0,2,2,17,3,7,1,1,3,1,3,0,0,2,2,0,1,10,0,0,0,1,5,0
1,0,2,2,17,3,7,0,1,4,1,3,3,0,2,3,0,1,1,0,0,0,1,4,0
1,0,1,1,17,3,7,0,1,5,2,4,0,0,1,1,0,4,1,0,0,0,1,2,1
1,0,2,2,17,3,7,1,1,3,1,2,0,0,1,1,0,4,10,0,0,0,1,2,0
1,0,1,1,18,3,1,1,2,3,1,2,0,0,1,1,0,4,1,0,0,0,1,2,0
1,0,6,6,18,3,1,0,1,4,1,3,3,0,2,2,0,1,1,0,0,0,1,3,0
1,0,1,1,18,3,1,0,2,4,1,3,0,0,1,1,0,4,10,20,0,0,1,4,0
1,0,1,1,20,3,3,0,1,5,2,4,0,0,1,1,0,4,10,0,0,0,1,4,0
1,0,1,1,21,3,4,1,2,3,1,2,0,0,1,1,0,4,10,0,0,0,1,2,0
1,0,1,1,21,3,4,0,1,6,2,4,0,0,1,1,0,4,1,0,0,0,1,3,0
1,0,2,2,21,3,4,0,1,4,1,3,2,0,1,1,0,1,1,0,0,0,1,3,0
1,0,4,4,22,3,5,1,2,3,1,3,3,0,2,2,0,1,1,0,0,0,1,3,0
1,0,1,1,23,3,6,0,1,5,1,2,0,0,1,1,0,4,1,0,0,0,1,1,1
1,0,1,1,23,3,6,0,1,5,1,3,0,0,1,1,0,4,10,0,0,0,1,4,0
1,0,6,6,24,3,7,0,2,4,4,6,3,0,2,2,0,1,1,0,0,0,3,4,0
1,0,1,1,25,3,1,0,2,4,2,4,0,0,1,1,0,2,1,0,0,0,1,3,1
1,0,1,1,25,3,1,0,1,5,2,4,0,0,1,1,0,4,1,0,0,0,1,5,1
1,0,2,2,26,3,2,1,1,3,1,2,0,0,2,3,0,1,10,0,0,0,1,5,0
1,0,2,2,26,3,2,0,2,4,4,6,0,0,3,3,0,1,10,0,0,0,1,2,0
1,0,2,2,27,3,3,0,2,4,4,6,2,0,1,1,0,1,10,0,0,0,2,5,0
1,0,1,1,27,3,3,0,1,5,1,3,0,0,1,1,0,4,1,0,0,0,1,3,0
1,0,1,1,27,3,3,1,1,3,1,3,0,0,1,1,0,4,10,0,0,0,1,5,0
1,0,2,2,28,3,4,1,1,3,1,2,3,0,2,3,0,1,1,0,0,0,1,2,0
1,0,1,1,28,3,4,0,2,7,2,4,0,0,1,1,0,4,10,0,0,0,1,1,0
1,0,3,3,28,3,4,1,2,3,1,2,3,0,8,1,0,1,1,0,0,0,1,3,0
1,0,1,1,29,3,5,0,1,7,2,4,0,0,1,1,0,4,2,0,0,0,1,3,0
1,0,3,3,29,3,5,1,2,3,1,3,4,0,2,3,0,1,2,0,0,0,1,1,1
1,0,2,2,30,3,6,0,2,4,4,6,3,0,2,2,0,1,1,0,0,0,1,5,0
1,1,1,2,30,3,6,0,2,4,4,6,0,0,1,1,0,5,1,0,0,0,1,3,0
1,0,2,2,31,3,7,0,2,7,4,6,0,0,3,3,0,5,1,0,0,0,1,3,1
1,0,3,3,1,4,1,0,1,5,1,3,3,0,8,1,0,1,1,0,0,0,1,3,0
1,0,1,1,2,4,2,0,1,7,4,6,0,0,1,1,0,4,1,0,0,0,1,1,0
1,0,1,1,8,4,1,1,1,3,1,2,0,0,1,1,0,1,1,0,0,0,1,1,1
1,0,1,1,5,4,5,1,2,1,1,1,0,0,1,1,1,4,1,0,0,0,1,3,0
1,0,5,5,8,4,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,4,0
1,0,3,3,11,4,4,1,1,1,1,1,3,0,1,1,0,1,1,0,0,0,2,1,0
1,0,1,1,14,4,7,1,2,1,1,1,0,0,1,1,0,4,10,0,0,0,1,2,0
1,0,5,5,14,4,7,1,2,1,1,1,1,0,1,1,0,1,2,19,0,0,1,5,0
1,0,2,2,15,4,1,1,2,1,1,1,0,0,1,1,1,4,10,0,0,0,2,2,0
1,0,1,1,16,4,2,1,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,3,0
1,0,1,1,20,4,6,1,2,1,1,1,0,1,5,1,1,3,1,0,0,0,1,3,0
1,0,5,5,21,4,7,1,2,1,1,1,1,0,1,1,0,1,10,0,0,0,1,5,0
1,0,3,3,11,1,5,0,2,5,4,6,2,0,1,1,0,1,2,0,0,0,1,2,0
1,0,3,3,30,3,6,0,1,7,2,4,2,0,1,1,0,1,1,0,0,0,1,5,1
1,0,1,1,30,3,6,0,1,5,2,4,0,0,1,1,0,4,1,0,0,0,1,5,0
1,0,2,2,31,3,7,0,2,5,4,6,3,0,2,2,0,1,1,0,0,0,1,5,0
1,0,4,4,31,3,7,0,1,5,1,3,0,0,1,1,0,4,1,0,0,0,1,4,0
