STATE,PVH,PERNOTMVIT ,PERMVIT,PERSONS,DAY,MONTH,DAYofWEEK,NHS,Urban(1)orRural(2),FUNC_SYS,RD_OWNER,ROUTE,SP_JUR,HARM_EV,MAN_COLL,RELJCT1,RELJCT2,TYP_INT,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER1,CF1,CF2,CF3,FATALS,MinutesOfDay,Drunk Driver Involved
1,0,0,1,1,1,3,5,0,1,7,2,4,0,34,0,0,1,1,0,4,2,10,0,0,0,1,1090,0
1,0,0,3,3,1,3,5,0,1,5,2,4,0,12,2,0,1,1,0,1,2,10,0,0,0,1,1265,0
1,0,0,1,1,2,3,6,0,1,5,2,4,0,35,0,0,1,1,0,4,2,1,0,0,0,1,180,1
1,0,0,4,4,2,3,6,0,2,5,4,6,0,12,2,0,1,1,0,1,1,1,0,0,0,1,834,0
1,0,0,1,1,6,3,3,0,1,4,1,3,0,32,0,0,1,1,0,4,1,10,0,0,0,1,420,0
1,0,0,3,3,23,2,6,1,1,1,1,1,0,12,1,0,1,1,2,1,1,1,26,0,0,1,571,0
1,0,0,3,3,25,2,1,1,1,1,1,1,0,12,1,1,10,1,0,1,2,2,0,0,0,1,175,1
1,0,1,7,7,5,3,2,1,2,1,1,1,0,8,0,0,1,1,0,1,2,2,0,0,0,1,1266,0
1,0,1,1,1,25,3,1,1,1,1,1,1,0,8,0,0,1,1,0,1,2,1,0,0,0,1,1380,0
1,0,1,1,1,5,3,2,0,2,7,4,6,0,8,0,0,1,1,0,1,3,10,18,0,0,1,1204,0
1,0,1,1,1,6,3,3,0,2,4,1,3,0,8,0,0,1,1,0,1,2,10,0,0,0,1,1270,0
1,0,0,5,5,6,3,3,1,2,3,1,2,0,12,2,0,8,1,0,1,5,1,0,0,0,1,1080,0
1,0,1,1,1,9,3,6,0,2,7,2,4,0,8,0,0,1,1,0,1,2,1,0,0,0,1,1100,0
1,0,0,2,2,11,3,1,0,2,5,2,4,0,12,2,0,1,1,0,1,1,2,0,0,0,2,1058,0
1,0,0,1,1,11,3,1,1,2,3,1,2,0,30,0,0,1,1,0,4,3,2,0,0,0,1,1220,0
1,0,0,3,3,11,3,1,0,1,6,1,4,0,1,0,0,1,1,0,1,5,1,0,0,0,1,1125,0
1,0,0,2,2,12,3,2,0,2,4,4,6,0,33,0,0,3,2,0,4,1,1,0,0,0,1,1007,0
